Rank,Player Name,HOF Probability,Points,Rebounds,Assists,Steals,Blocks,PER,VORP,MVP,Champ,DPOY
1,LeBron James,1,32547,12683,5771,2051,1895,29.7,10.2,2,0,0
2,Kareem Abdul-Jabbar,1,27683,14432,9642,4426,3243,27.8,13.4,0,0,0
3,Michael Jordan,1,18295,10752,7892,3493,2569,27.6,12.4,0,1,0
4,Bill Russell,1,7432,8564,1573,717,526,22.5,7.8,0,0,0
5,Kobe Bryant,1,39205,12543,6395,2956,2167,24.5,9.2,0,0,0
6,Giannis Antetokounmpo,0.934,25163,12009,8935,4075,2989,28.7,11.3,0,0,3
7,Tony Snell,0.931,14327,3201,5847,2256,1657,20.3,5.6,0,0,0
8,Stephen Curry,0.911,30798,6209,7582,3243,2381,28.6,10.8,0,0,0
9,Thanasis Antetokounmpo,0.832,9866,8312,3942,1707,1251,18.2,4.2,0,1,0
10,Grayson Allen,0.731,22455,10897,6442,3012,2207,21.9,6.8,0,0,0
11,Dwight Howard,0.654,13491,13506,1721,778,570,19.7,5.2,0,0,0
12,Paolo Banchero,0.549,38655,14733,8938,4132,3041,27.9,11.7,0,0,0
13,Mark Williams,0.321,20998,11182,5136,2425,1782,20.1,6.1,0,0,0
14,Armando Bacot,0,19047,10320,3198,1436,1042,19.3,4.8,0,0,0
15,Miles King,0.2,3611,4213,671,314,230,16.5,2.1,0,0,0
16,Poop,0.1,28944,12304,8092,3741,2747,25.2,9.4,0,0,0
17,Jonathan,0.8,10020,5678,3772,1675,1231,17.9,4.1,0,0,0
18,Ronald,0.9,19633,14120,4938,2323,1703,20.4,6.2,1,0,0
19,Jerry,0.143,20584,8051,2503,1126,825,18.8,4.6,0,0,0
20,Jacob,0.453,26460,9801,4189,1974,1447,19.7,5.8,0,0,0
21,Jack,0.24,32765,11572,5409,2507,1841,21.2,6.6,0,0,0
22,Melissa,0.56,15174,6308,1984,893,655,17.3,3.8,0,0,0
23,Marcia,0.78,351,2145,786,337,245,15.6,1.9,0,0,0
24,Jake,0.324,10655,7841,2097,968,708,18.1,4.3,0,0,0
25,Aditya,0.9,26620,13980,7416,3437,2521,25.6,9.7,0,0,0
26,Marion,0.1,23371,10395,3497,1563,1143,17.8,4.0,0,0,0
27,Saul,0.35,13750,6880,2321,1078,791,18.2,4.2,0,0,0
28,David,0.345,12556,5476,2017,904,662,17.4,3.9,0,0,1
29,Oliver,0.423,17662,8685,3057,1372,1006,19.5,4.9,0,0,0
30,Emma,0.625,35198,12674,6205,2882,2117,25.1,9.3,0,0,0
31,Noah,0.811,8576,6073,3508,1588,1162,18.7,4.5,0,0,0
32,William,0.268,29856,13487,4234,1968,1439,20.7,6.3,0,0,0
33,Sophia,0.99,11265,12456,3811,1716,1259,17.9,4.1,0,0,1
34,Isabella,0.412,30120,13892,4387,2023,1484,20.9,6.4,0,0,0
35,James,0.623,38600,14101,5682,2631,1928,24.8,9.0,0,0,0
36,Benjamin,0.869,14756,7432,3032,1364,1000,18.6,4.4,0,0,0
37,Lucas,0.736,29001,12286,5069,2358,1730,21.5,7.0,0,0,0
38,Avery,0.469,21472,13451,3417,1529,1120,19.0,4.7,0,0,0
39,Sebastian,0.698,8798,6412,2347,1075,788,18.3,4.2,0,0,0
40,Evelyn,0.798,20645,8932,3296,1483,1085,19.1,4.8,0,0,0
41,Charlotte,0.356,27287,13277,4682,2155,1581,20.8,6.3,0,0,0
42,Amelia,0.111,9882,7154,1961,886,649,17.6,3.8,0,0,0
43,Harper,0.546,37534,13983,5186,2401,1760,23.5,8.6,0,0,0
44,Liam,0.875,25881,12794,4375,2025,1485,21.2,6.6,0,0,0
45,Mia,0.312,30561,14720,4083,1884,1380,22.3,7.5,0,0,0
46,Elijah,0.876,21595,12903,3625,1665,1219,19.8,5.0,0,2,0
47,Abigail,0.288,12859,5467,2079,933,682,17.2,3.7,0,0,0
